season;time;home;numpen;goaldiff;pendiff;ppgoal;capacity;month;timebetpens;inRow;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
2014-2015;25.49;0;9;2;0;0;0;1;0;-1;2.78;2.10;3.58;3.73;2.50;2.68;4.30;4.47
2014-2015;30.43;0;10;2;-1;0;0;1;4.94;-2;2.78;2.10;3.58;3.73;2.50;2.68;4.30;4.47
2014-2015;33.54;0;11;2;-2;0;0;1;3.11;-3;2.78;2.10;3.58;3.73;2.50;2.68;4.30;4.47
2014-2015;45.31;1;12;2;-3;0;0;1;11.77;-4;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;47.51;0;13;2;-2;0;0;1;2.2;1;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;57.54;0;14;2;-3;1;0;1;10.03;-1;2.78;2.10;3.58;3.73;2.50;2.68;4.30;4.47
2014-2015;57.54;1;15;2;-4;0;0;1;0;-2;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;5.19;0;1;-1;0;0;0;1;;0;;;;;2.90;2.52;3.90;4.40
2014-2015;28.13;1;4;1;-1;0;0;1;22.94;-1;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;30.53;0;5;1;0;0;0;1;2.4;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;36.59;0;6;1;-1;0;0;1;6.06;-1;2.38;2.75;3.55;3.83;2.90;2.52;3.90;4.40
2014-2015;48.56;0;7;1;-2;0;0;1;11.97;-2;2.38;2.75;3.55;3.83;2.90;2.52;3.90;4.40
2014-2015;5.27;0;1;0;0;0;0;1;;0;;;;;2.72;2.45;4.28;3.80
